Date,close,open,high,low,volume,sma9,sma20,sma200,sma200_4h,diff_sma9,diff_sma20,diff_sma200,diff_sma200_4h,diff_sma9_sma20,target_long,target_short,probability_long,probability_short,predicted_long,predicted_short
2021-01-01 00:00:00,28995.13,28923.63,29031.34,28690.17,2311.811442,28870.59000000004,28853.14850000008,26215.70440000003,21657.24225,0.0043137324176596,0.0049208321233962,0.1060213968540157,0.3388191195026228,0.0006044920886176,1,0,0.95709556,5.9847796e-05,1,0
2021-01-01 01:00:00,29409.99,28995.13,29470.0,28960.35,5403.068446999999,28984.966666666696,28875.03800000008,26244.807400000034,21657.24225,0.0146635784757375,0.018526451809342,0.1206022414933006,0.3579748363391005,0.00380704838091,1,0,0.97254753,5.962779e-05,1,0
2021-01-01 02:00:00,29194.65,29410.0,29465.26,29120.03,2384.231552,29054.153333333365,28891.820000000083,26272.75530000004,21657.24225,0.0048356827010149,0.0104815134525937,0.1112138664801539,0.348031742130049,0.0056186606912711,1,0,0.98455685,0.00012067289,1,0
2021-01-01 03:00:00,29278.4,29195.25,29367.0,29150.02,1461.345068,29099.28111111114,28897.977500000085,26301.36275000004,21657.24225,0.0061554403424924,0.0131643295798093,0.1131894677206395,0.3518988088153283,0.0069660103760221,1,0,0.984561,0.000120587996,1,0
2021-01-01 04:00:00,29220.31,29278.41,29395.0,29029.4,2038.0467760000004,29135.112222222248,28912.677500000085,26329.95435000004,21714.10715,0.0029242302939465,0.0106400557333341,0.1097744269351517,0.3456832370839618,0.0076933283754907,1,0,0.9845506,0.00012079585,1,0
2021-01-01 05:00:00,29187.01,29220.31,29235.28,29084.11,1469.9562600000002,29141.81333333336,28922.528500000084,26359.31245000004,21714.10715,0.0015509215624183,0.0091444805733327,0.1072750875184512,0.344149671841331,0.0075818002334504,1,0,0.984546,0.00012088411,1,0
2021-01-01 06:00:00,29174.35,29187.01,29270.0,29077.32,1420.726288,29164.92333333336,28924.421500000084,26388.72465000004,21714.10715,0.0003232193192794,0.0086407432556572,0.1055611965696096,0.3435666407310696,0.00831483642061,1,0,0.98454195,0.0001209632,1,0
2021-01-01 07:00:00,29092.83,29174.35,29191.98,28806.54,2380.180928,29164.03333333336,28933.54800000008,26418.025000000034,21714.10715,-0.0024414775734045,0.0055050974045741,0.10124924175823,0.3398123993322932,0.0079660238465492,1,0,0.984533,0.00012114155,1,0
2021-01-01 08:00:00,29000.01,29092.84,29178.03,28872.24,2008.165744,29172.520000000022,28952.66850000008,26447.68800000003,21771.3372,-0.0059134418281322,0.0016351342536843,0.0965045413421379,0.3320270470111499,0.0075934796821903,1,0,0.98452157,0.000121365745,1,0
2021-01-01 09:00:00,29202.21,29000.01,29307.73,28970.0,2022.0560130000003,29195.528888888915,28986.82900000008,26477.685500000032,21771.3372,0.0002288402151065,0.0074303056743432,0.1028988919745256,0.3413144875639516,0.0071998178513708,1,0,0.9845418,0.000120969315,1,0
